activity	phase	group
12	1	1
124	1	3
10	1	7
1	1	9
148	1	11
247	1	13
46	1	23
4	1	27
692	1	k2
237	1	k1
175	2	2
176	2	11
94	2	17
47	2	19
17	2	21
4	2	25
96	2	28
1095	2	k2
8	2	k1
9	3	2
445	3	3
11	3	5
118	3	9
31	3	11
811	3	17
1986	3	19
1033	3	21
79	3	23
947	3	25
6	3	28
5593	3	k2
1165	3	k1
11	4	2
12	4	5
2	4	17
552	4	21
378	4	25
97	4	k1
217	4	k2
